,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
"(0, 50]",crli,asset,released_not_activated,549.96383733,51.96806836,33.22191301,29.49104633,27.64283236,25.82310101,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349,21.99855349
"(0, 50]",crli,liabi,released,-549.96383733,-558.76917692,-587.14469556,-640.22180768,-761.14164216,-854.39777816,-907.20182938,-948.04975713,-988.23977621,-1023.01679143,-1051.62904209,-1074.23348502,-1095.72825117,-1095.86207311,-1097.52881162,-1101.07042747,-1105.43459472,-1110.64953359,-1116.02494632,-1121.01090755,-1125.63390544,-1129.91839776,-1133.8869829,-1137.5605553,-1140.95844685,-1144.09855554,-1146.99746275,-1149.67054001,-1152.13204647,-1154.37585333,-1156.41417717,-1158.25854903,-1159.91985286,-1161.40836182,-1162.7337726,-1163.90523773,-1164.93139614,-1165.82040196,-1166.57995173,-1167.21731012,-1167.73933409,-1168.15249584,-1168.46290435,-1168.6763258,-1168.79820278,-1168.83367246,-1168.78758375,-1168.66451343,-1168.46878144,-1168.20446534,-1167.87541382,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109,-1167.59294109
"(0, 50]",late,asset,cash,0.0,-18.37594222,-163.37789007,-217.29108556,-258.79175704,-301.83723922,-351.06550002,-403.34766736,-457.4364622,-498.33223984,-520.82922855,-545.48511288,-572.46709672,-599.72931866,-630.31068165,-651.99099663,-681.90373079,-709.95277671,-735.02323278,-756.80549886,-777.03983015,-796.12401412,-814.15261951,-831.22539155,-847.41922917,-862.795279,-877.40083628,-891.28020619,-904.47490345,-917.77582903,-930.66587234,-943.06031475,-954.95204754,-966.35504963,-977.28307772,-987.7496737,-997.77221239,-1007.36757167,-1016.5521335,-1025.34178649,-1033.75192964,-1041.79747727,-1049.49286494,-1056.85205616,-1063.88855,-1070.61538916,-1077.04516872,-1083.19004532,-1089.06174666,-1094.6715814,-1100.03044924,-1099.36758811,-1084.42555857,-1081.24774862,-1080.36921971,-1080.04779881,-1079.83817694,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327,-1079.74634327
"(0, 50]",late,asset,late_000-001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"(0, 50]",late,asset,late_001-030,0.0,18.37594222,155.84375376,147.9328977,146.86591574,150.8045469,159.60796086,168.9491554,178.01081329,171.43527973,150.48767269,139.89623328,133.55015696,128.3672994,127.54771565,117.23159895,118.96310239,116.83292921,112.44639198,106.30730146,100.53961378,95.11987461,90.02606021,85.23750811,80.73484797,76.49993344,72.51577366,68.76646775,65.23714041,62.6658709,60.17774645,57.77153256,55.44587144,53.19929975,51.03026471,48.93713877,46.91823287,44.97180847,43.09608843,41.28926681,39.54951771,37.87500319,36.26388036,34.71430775,33.22445092,31.79248752,30.41661164,29.09503777,27.82600415,26.60777577,25.43864687,18.53568007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"(0, 50]",late,asset,late_031-060,0.0,0.0,7.53413631,63.89593904,60.65248806,60.21502545,61.82986423,65.43926395,69.26915371,72.98443345,70.28846469,61.6999458,57.35745565,54.75556435,52.63059276,52.29456342,48.06495557,48.77487198,47.90150098,46.10302071,43.5859936,41.22124165,38.99914859,36.91068469,34.94737832,33.10128767,31.36497271,29.7314672,28.19425178,26.74722757,25.69300707,24.67287604,23.68632835,22.73280729,21.8117129,20.92240853,20.0642269,19.23647548,18.43844147,17.66939626,16.92859939,16.21530226,15.52875131,14.86819095,14.23286618,13.62202488,13.03491988,12.47081077,11.92896548,11.4086617,10.90918806,10.42984522,7.59962883,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",late,asset,late_061-090,0.0,0.0,0.0,5.46224882,46.32455581,43.97305384,43.65589345,44.82665157,47.44346636,50.22013644,52.91371425,50.9591369,44.73246071,41.58415534,39.69778416,38.15717975,37.91355848,34.84709279,35.36178218,34.72858821,33.42469001,31.59984536,29.8854002,28.27438273,26.7602464,25.33684928,23.99843356,22.73960522,21.55531372,20.44083254,19.39173999,18.62743012,17.88783513,17.17258805,16.48128528,15.81349185,15.16874619,14.5465645,13.94644472,13.36787007,12.81031229,12.27323456,11.75609414,11.2583447,10.77943844,10.31882798,9.87596804,9.45031691,9.04133781,8.64849998,8.27127973,7.90916135,7.56163778,5.5097309,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",late,asset,late_091-120,0.0,0.0,0.0,0.0,4.94879743,41.97004756,39.83958678,39.55223947,40.61294632,42.98378053,45.49944362,47.93982511,46.16897803,40.5276094,37.67524474,35.96619244,34.57040485,34.34968398,31.57146607,32.03777466,31.46410092,30.28276915,28.6294599,27.07617258,25.61659075,24.24478324,22.95518545,21.7425808,20.60208233,19.52911423,18.51939428,17.56891643,16.87645169,16.20637863,15.55836478,14.93204447,14.32702362,13.74288404,13.17918744,12.63547892,12.11129028,11.60614293,11.11955051,10.65102129,10.2000603,9.76617122,9.34885815,8.94762704,8.56198712,8.19145206,7.83554098,7.49377944,7.16570018,6.85084383,4.9918162,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",late,asset,late_121-150,0.0,0.0,0.0,0.0,0.0,4.87456547,41.34049685,39.24199298,38.95895588,40.00375212,42.33902382,44.81695196,47.22072773,45.47644336,39.91969526,37.11011607,35.42669956,34.05184878,33.83443872,31.09789408,31.55720804,30.9921394,29.82852762,28.200018,26.67002999,25.23234189,23.88111149,22.61085767,21.41644209,20.29305109,19.23617752,18.24160337,17.30538268,16.62330492,15.96328295,15.3249893,14.7080638,14.11211826,13.53674078,12.98149963,12.44594673,11.92962093,11.43205079,10.95275725,10.49125597,10.04705939,9.61967866,9.20862528,8.81341264,8.43355732,8.06858027,7.71800786,7.38137275,7.05821468,6.74808117,4.91693895,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",late,asset,late_151-180,0.0,0.0,0.0,0.0,0.0,0.0,4.79169786,40.6377084,38.5748791,38.29665363,39.32368834,41.61926041,44.05506378,46.41797536,44.70334382,39.24106044,36.4792441,34.82444567,33.47296735,33.25925326,30.56922988,31.0207355,30.46527303,29.32144265,27.72061769,26.21663948,24.80339208,23.47513259,22.22647309,21.05236258,19.94806922,18.9091625,17.93149611,17.01119118,16.34070873,15.69190714,15.06446449,14.45802672,13.87221225,13.30661619,12.76081413,12.23436564,11.72681737,11.23770592,10.76656038,10.31290462,9.87625938,9.45614412,9.05207865,8.66358462,8.29018684,7.93141441,7.58680173,7.25588941,6.93822503,6.63336379,4.83335099,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
