,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
"(000, 025]",crli,asset,released_not_activated,300,28.348083,18.122235,16.087083,15.0789,14.086254,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"(000, 025]",crli,liabi,released,-300,-304.3204466,-317.3064638,-348.9859962,-383.9620849,-448.3932348,-471.0413726,-501.7421356,-528.351093,-549.7640714,-562.8174018,-573.1934399,-582.8080055,-583.0596,-581.9858273,-582.6669723,-583.9143845,-584.942693,-585.7791237,-586.447154,-586.9670718,-587.3564466,-587.6305253,-587.8025665,-587.8803027,-587.8740776,-587.7921063,-587.6426105,-587.4328475,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652,-587.4248652
"(000, 025]",late,asset,cash,0,0,-107.3597196,-159.8831795,-194.813314,-240.8531542,-280.801865,-332.1888166,-345.3059046,-355.8490317,-424.9686214,-468.7512453,-487.4386583,-449.9442099,-510.82037,-538.6656319,-555.9191408,-567.0730609,-576.5424057,-584.9275936,-592.1375747,-598.618933,-604.4820036,-609.8057846,-614.9378372,-619.6594574,-623.926505,-627.799096,-631.3194786,-613.4611657,-608.9573773,-607.7619982,-607.3668638,-607.1191854,-606.9942738,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123,-606.9897123
"(000, 025]",late,asset,late_000-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_001-030,0,0,107.3597196,115.8656944,115.3957027,130.1869534,133.4410334,148.9722698,121.2143886,104.2051224,150.1279018,149.3426813,128.4607492,61.03622667,117.2212708,109.2736101,98.58328354,86.47976886,76.04616906,67.03002828,59.22005877,52.43897521,46.53765558,41.3903591,37.18297762,33.43765825,30.06202888,27.05510371,24.37411144,0.92067442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_031-060,0,0,0,44.01748504,47.50493472,47.31223809,53.37665087,54.71082368,61.07863061,49.69789932,42.72410016,61.55243973,61.23049933,52.66890716,25.02485293,48.06072102,44.80218013,40.41914625,35.45670523,31.17892932,27.48231159,24.28022409,21.49997983,19.08043879,16.97004723,15.24502082,13.70943988,12.32543184,11.09259252,9.99338569,0.37747651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_061-090,0,0,0,0,31.91267666,34.44107767,34.30137262,38.69807188,39.66534717,44.28200719,36.03097701,30.97497262,44.62551881,44.39211202,38.18495769,18.14301838,34.84402274,32.48158059,29.30388103,25.70611129,22.60472375,19.92467591,17.60316247,15.58748538,13.83331812,12.30328424,11.0526401,9.93934392,8.93593809,8.04212958,7.24520463,0.27367047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_091-120,0,0,0,0,0,28.91288505,31.20361637,31.07704359,35.06045313,35.93680454,40.11949851,32.64406517,28.06332519,40.43072004,40.21925349,34.59557167,16.43757465,31.5686846,29.42831202,26.54931621,23.28973683,20.47987972,18.05175637,15.9484652,14.12226175,12.53298622,11.14677552,10.01369193,9.00504559,8.09595991,7.2861694,6.56415539,0.24794545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_121-150,0,0,0,0,0,0,28.47919178,30.73556212,30.61088794,34.53454633,35.39775247,39.51770604,32.15440419,27.64237532,39.82425924,39.61596468,34.07663809,16.19101103,31.09515433,28.98688734,26.15107647,22.94039078,20.17268153,17.78098002,15.70923822,13.91042783,12.34499142,10.97957389,9.86348655,8.8699699,7.97452051,7.17687686,6.46569306,0.24422627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",late,asset,late_151-180,0,0,0,0,0,0,0,27.99504552,30.21305757,30.09050284,33.94745904,34.79599068,38.84590503,31.60777932,27.17245493,39.14724683,38.94249328,33.49733525,15.91576384,30.56653671,28.49411025,25.70650817,22.55040414,19.82974594,17.47870336,15.44218117,13.67395055,12.13512657,10.79292113,9.69580728,8.71918042,7.83895366,7.05486995,6.35577628,0.24007442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
