mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
1,750,0.053346882,0.376577714,0.706589647,0.936914132,0.962809114,0.967344152,0.012138862,0.227545868,0.604246771,0.855159389,0.91274041,0.947997268
1,800,0.044011362,0.35654728,0.770397181,0.930752575,0.980474326,0.946695627,0.01023537,0.232561989,0.652261288,0.846655861,0.909646541,0.927761714
1,850,0.038019164,0.37473067,0.774378972,0.942686041,0.953556171,0.979608373,0.009520665,0.250417521,0.66826001,0.862962496,0.915429377,0.960016206
1,900,0.02853087,0.30009771,0.689212488,0.923366391,0.972186645,0.885370423,0.004596271,0.161098174,0.536819072,0.778887617,0.843530395,0.867663015
1,950,0.01698572,0.279841032,0.772107791,0.916534622,0.937812543,0.880123134,0.002720869,0.160185703,0.572416783,0.741369003,0.808882704,0.862520672
2,0,0.2,0.517246687,0.806278141,0.976135349,0.905584772,0.873557259,0.063120322,0.315601608,0.610156848,0.756757274,0.775258548,0.856086114
2,50,0.154435649,0.6,0.923072282,0.946487676,0.940026013,0.897088008,0.066903753,0.433214439,0.722024065,0.782196669,0.826420342,0.879146248
2,100,0.196504719,0.6,0.851541074,0.957837009,0.884274967,0.953653623,0.079474082,0.40443854,0.674064234,0.791581586,0.826426186,0.93458055
2,150,0.169372961,0.46616009,0.858900919,0.958653506,0.960501673,0.913132608,0.055878142,0.329911819,0.707722145,0.823985782,0.85952409,0.894869956
2,200,0.146302855,0.512904976,0.791955623,0.912416032,0.982819638,0.910479114,0.047550311,0.325012868,0.633670724,0.800134132,0.876940018,0.892269531
2,250,0.15209354,0.551980314,0.77489412,0.915378673,0.986552411,0.979713168,0.056405661,0.370861651,0.671874778,0.867053654,0.94720762,0.960118904
2,300,0.146609516,0.452859113,0.767100888,0.869008634,0.958446049,0.94355325,0.039224915,0.267546855,0.590794901,0.770165842,0.886257987,0.924682185
2,350,0.11665082,0.475520812,0.79491599,0.927861487,0.962091515,0.974957941,0.03760885,0.322405359,0.678004729,0.852926268,0.919238787,0.955458782
2,400,0.106751076,0.44038146,0.739913105,0.892491133,0.944912217,0.940191618,0.027028369,0.253190596,0.574934731,0.777030069,0.870630575,0.921387786
2,450,0.109469291,0.485086799,0.779097876,0.909017816,0.967898398,0.951818272,0.033953618,0.31016569,0.639402455,0.820695929,0.902838112,0.932781906
2,500,0.105552152,0.453433898,0.782359305,0.892617231,0.970865902,0.938577428,0.029847504,0.282774949,0.623629927,0.797114476,0.893008165,0.91980588
2,550,0.093566676,0.416131958,0.721592268,0.918561875,0.943582037,0.933763181,0.022284097,0.238162753,0.572325073,0.793141915,0.863460521,0.915087918
2,600,0.086780193,0.4499162,0.814020747,0.904494102,0.951323342,0.939428581,0.025177433,0.2901288,0.644850752,0.792179751,0.875826331,0.92064001
2,650,0.078819457,0.416214658,0.791535372,0.913724418,0.943891799,0.939549815,0.02062075,0.261620053,0.628570013,0.794114874,0.869096698,0.920758819
2,700,0.063446176,0.409171481,0.781393828,0.895833468,0.964777728,0.950059024,0.016323452,0.257280308,0.62878358,0.804694838,0.89826387,0.931057843
2,750,0.058130423,0.391257548,0.749463864,0.890344452,0.958270051,0.93158683,0.013277377,0.228406687,0.583775798,0.778924543,0.874857524,0.912955094
2,800,0.047038634,0.380442132,0.755850055,0.906577415,0.976693928,0.940777401,0.011042192,0.234747292,0.617038104,0.816349884,0.900474543,0.921961853
2,850,0.038067509,0.323700833,0.821840344,0.913507596,0.934121156,0.91933088,0.007785724,0.204524137,0.63183074,0.768799859,0.841591096,0.900944262
2,900,0.02856052,0.288607064,0.739827774,0.860534162,0.991824149,0.989402384,0.005046677,0.176701164,0.612255158,0.827564442,0.961686913,0.969614336
2,950,0.018529995,0.253023362,0.621068078,0.87398584,0.940817222,0.972727369,0.002282454,0.12317617,0.486817379,0.783838997,0.896855488,0.953272822
3,0,0.2,0.6,0.870638931,0.897417019,0.966855362,0.976970884,0.086792628,0.433963139,0.723271898,0.830736913,0.925697747,0.957431466
3,50,0.195060579,0.6,0.904582927,0.954177538,0.97208757,0.932973011,0.089783986,0.460287702,0.767146171,0.848066161,0.888792838,0.914313551
3,100,0.2,0.430415313,0.79836818,0.959769766,0.997771321,0.951734224,0.06138479,0.306923949,0.713087894,0.893181757,0.930620852,0.932699539
3,150,0.160207392,0.503028236,0.79376309,0.964121238,0.953246585,0.974559278,0.056148358,0.350472953,0.696726203,0.87775082,0.910415397,0.955068092
3,200,0.146634696,0.512628044,0.832793304,0.905886462,0.954684357,0.94256762,0.050009038,0.341045053,0.665287544,0.798862744,0.881857471,0.923716268
3,250,0.152728067,0.550989383,0.790552838,0.95333904,0.943274023,0.958615044,0.056201584,0.367984648,0.667861595,0.844803235,0.886151936,0.939442743
3,300,0.137161018,0.461827323,0.755262296,0.924420099,0.94972141,0.945106372,0.038902768,0.283628458,0.614143952,0.813153199,0.879636001,0.926204245
3,350,0.129294823,0.513398036,0.797725792,0.927658624,0.958841693,0.960934641,0.044355144,0.343054293,0.66820336,0.837635397,0.902956514,0.941715948
3,400,0.121101879,0.466806109,0.799941811,0.924654363,0.915393101,0.948841989,0.035592037,0.293901604,0.629601025,0.787058528,0.851192142,0.929865149
3,450,0.108539869,0.453147318,0.754842661,0.923973258,0.90658792,0.933027078,0.028436412,0.261990477,0.578157403,0.765931011,0.828953657,0.914366536
3,500,0.103866084,0.474234425,0.72363987,0.880624488,0.937867771,0.952721029,0.027486125,0.264630417,0.558016042,0.771123959,0.875655821,0.933666609
3,550,0.099857487,0.420234305,0.754347849,0.889817306,0.933914745,0.95943548,0.024733964,0.247692633,0.589415546,0.781357761,0.878110322,0.94024677
3,600,0.086613446,0.390003194,0.753664756,0.892651355,0.966511869,0.947077696,0.020386019,0.235367837,0.60350233,0.800757001,0.897054597,0.928136142
3,650,0.077411913,0.427217398,0.76080412,0.924415408,0.955865357,0.934084931,0.020351945,0.262904564,0.615388243,0.80886555,0.875002237,0.915403232
3,700,0.067020517,0.393954964,0.709337486,0.884592173,0.944181958,0.951681295,0.014588937,0.217678676,0.552547108,0.778962227,0.880589102,0.932647669
3,750,0.057557572,0.363166646,0.700052378,0.884507412,0.941467809,0.918844297,0.01097271,0.190638864,0.524934947,0.74985096,0.847761081,0.900467411
3,800,0.046846284,0.345880631,0.706568393,0.902699351,0.943494861,0.953113447,0.009107705,0.1944168,0.562092186,0.795524101,0.881272487,0.934051178
3,850,0.038525356,0.323318999,0.686454972,0.896818973,0.921065392,0.947162184,0.00655595,0.170172335,0.526329525,0.766735688,0.854950343,0.928218941
3,900,0.029264711,0.242562523,0.659329499,0.855532847,0.946946295,0.900422458,0.003345838,0.114330115,0.471342866,0.714882115,0.835598677,0.882414009
3,950,0.01870596,0.217873006,0.643119391,0.870887912,0.919928294,0.955230156,0.001965737,0.105086123,0.482327411,0.749981136,0.861168383,0.936125553
4,0,0.166641096,0.52482377,0.873841073,0.873166002,0.98536854,0.996141551,0.064190492,0.385202052,0.733964568,0.839929126,0.961935215,0.97621872
4,50,0.2,0.571780997,0.806158854,0.92345144,0.958475238,0.866433704,0.0692846,0.346423001,0.605866587,0.751547396,0.813846146,0.84910503
4,100,0.192513786,0.446215768,0.834868787,0.988423933,0.942614952,0.98141561,0.064266047,0.333825687,0.748126155,0.896100282,0.906595088,0.961787298
4,150,0.174061669,0.466123348,0.701459044,0.922893529,0.937869215,0.988978195,0.047743362,0.274289921,0.588449222,0.838893199,0.908981559,0.969198631
